 You are impersonating as another user., Ви увійшли від імені іншого користувача.
 to your browser,у ваш браузер
!=,!=
"""Company History""","""Історія компанії"""
"""Parent"" signifies the parent table in which this row must be added","""Parent"" позначає батьківську таблицю, до якої потрібно додати цей рядок"
"""Team Members"" or ""Management""","""Члени команди"" або ""Керівництво"""
"""amended_from"" field must be present to do an amendment.","Для внесення поправки має бути присутнє поле ""amended_from""."
"""{0}"" is not a valid Google Sheets URL","""{0}"" не є дійсним URL Google Sheets"
#{0},#{0}
${values.doctype_name} has been added to queue for optimization,${values.doctype_name} додано до черги оптимізації
&copy; Frappe Technologies Pvt. Ltd. and contributors,&copy; Frappe Technologies Pvt. Ltd. та учасники
&lt;head&gt; HTML,&lt;head&gt; HTML
'*' is only allowed in {0} SQL function(s),'*' дозволено лише у SQL-функції(ях) {0}
'In Global Search' is not allowed for field {0} of type {1},'У глобальному пошуку' не дозволено для поля {0} типу {1}
'In Global Search' not allowed for type {0} in row {1},'У глобальному пошуку' не дозволено для типу {0} у рядку {1}
'In List View' is not allowed for field {0} of type {1},'У списку' не дозволено для поля {0} типу {1}
'In List View' not allowed for type {0} in row {1},'У списку' не дозволено для типу {0} у рядку {1}
'Recipients' not specified,'Одержувачів' не вказано
'{0}' is not a valid IBAN,'{0}' не є дійсним IBAN
'{0}' is not a valid URL,'{0}' не є дійсним URL
'{0}' not allowed for type {1} in row {2},'{0}' не дозволено для типу {1} у рядку {2}
(Ctrl + G),(Ctrl + G)
(Mandatory),(Обов'язково)
** Failed: {0} to {1}: {2},** Помилка: {0} до {1}: {2}
**Currency** Master,**Валютний** Мастер
+ Add / Remove Fields,+ Додати / Видалити поля
0 - Draft; 1 - Submitted; 2 - Cancelled,0 - Чернетка; 1 - Надіслано; 2 - Скасовано
0 is highest,0 — найвищий пріоритет
1 = True & 0 = False,1 = Істина & 0 = Хибно
1 Currency = [?] Fraction\nFor e.g. 1 USD = 100 Cent,"1 Валюта = [?] Частка. Наприклад, 1 ГРН = 100 копійок"
1 Day,1 день
1 Google Calendar Event synced.,1 подію Google Календаря синхронізовано.
1 Report,1 звіт
1 comment,1 коментар
1 day ago,1 день тому
1 hour,1 година
1 hour ago,1 годину тому
1 minute ago,1 хвилину тому
1 month ago,1 місяць тому
1 of 2,1 з 2
1 record will be exported,1 запис буде експортовано
1 row from {0},1 рядок з {0}
1 row to {0},1 рядок до {0}
1 second ago,1 секунду тому
1 week ago,1 тиждень тому
1 year ago,1 рік тому
2 hours ago,2 години тому
2 months ago,2 місяці тому
2 weeks ago,2 тижні тому
2 years ago,2 роки тому
3 minutes ago,3 хвилини тому
30 minutes,30 хвилин
4 hours,4 години
5 Records,5 записів
5 days ago,5 днів тому
; not allowed in condition,; не дозволено в умові
<,<
<=,<=
